Ticker,Ticker,Factor,Selection Close
4112,BSLGOLDETF,-0.02784182495290832,112.59
5549,LIQUIDCASE,-0.003244494416482689,111.67
6197,GROWWLIQID,-0.002805376880267856,106.88
6302,LIQUIDPLUS,-0.0025667687870835317,1062.36
4735,LIQUID1,-0.002542092388396587,1080.77
5744,LIQUIDADD,-0.0025392326376198894,1102.94
5987,LIQUIDSHRI,-0.002471700753743278,1082.08
5889,LIQUIDBETF,-0.002428907288907888,1059.3
5330,LIQUIDSBI,-9.715013109597001e-05,1000.01
6616,HDFCLIQUID,-4.846140510341969e-05,1038.76
5084,LIQUID,1.1127646950099394e-05,999.99
4138,BBETF0432,0.006888530661364109,1312.81
4172,SETFGOLD,0.011991268428017489,109.37
4139,QGOLDHALF,0.013056497912615749,105.89
3934,GOLD1,0.020603225943809433,106.69
4642,EBBETF0433,0.021045308135165062,1272.3
4784,GOLDETF,0.023402083643700007,124.58
4917,GOLDETFADD,0.031096770254137863,124.48
5353,EGOLD,0.04124460199012609,128.15
6253,GROWWGOLD,0.043658118717035385,125.04
4497,AXISILVER,0.17845643296140407,173.73
4201,SILVER,0.18795798212547266,174.4
4998,SILVRETF,0.21066307257128372,170.11
4208,SILVERBEES,0.21147586252794867,167.22
5984,SBISILVER,0.21792417306416795,171.73
4886,SILVERETF,0.22390091944284046,169.08
4639,SILVER1,0.22687035832404737,169.81
4194,SILVERIETF,0.22805057347679392,174.54
5378,ESILVER,0.23642794989519303,175.36
4438,SILVERADD,0.24403541929732095,168.42
4460,HDFCSILVER,0.25530594324345013,167.7
1136,PGHH,0.27654136708106997,12671.0
5190,JLHL,0.3560513642844807,1440.5
1091,ORIENTCEM,0.39180252008265626,162.54
937,PGHL,0.43219004020075535,5854.0
4337,EMUDHRA,0.4393332758552502,622.65
6101,MANCREDIT,0.4662728938654462,164.27
4393,HNDFDS,0.4720842145710064,527.0
1539,THYROCARE,0.47738227160212937,428.2
2846,GMMPFAUDLR,0.4789665016311081,1100.5
46,AKZOINDIA,0.4903644729582918,3541.7
1302,SANOFI,0.4933895680464118,4372.8
3243,SAFARI,0.4970465546373566,2390.1
2482,PSPPROJECT,0.498331482904076,878.25
4273,ELDEHSG,0.5076026091977262,951.0
1318,SEAMECLTD,0.523604410725726,971.75
4655,AHL,0.5273401563549586,201.02
4476,TMB,0.5362610197878516,534.25
3332,SIS,0.5387478446943608,329.95
4602,RUSTOMJEE,0.5514498173126338,535.55
2779,SILVERTUC,0.5526149785018303,746.2
574,HIL,0.5552602072206122,1605.6
3844,ANURAS,0.564715312816219,1251.4
4459,GRMOVER,0.5703120573970784,469.05
193,BIL,0.5711496458559857,806.2
6409,INNOVANA,0.5796516023889573,439.25
130,AUTOAXLES,0.5818079110230697,1817.4
620,ICRA,0.5850966747625858,6049.5
3889,MAFANG,0.591140352668317,176.26
5449,INDIASHLTR,0.5925026964328927,853.35
1005,NAVNETEDUL,0.6139763757293853,143.04
6883,ZYDUSWELL,0.614240597578547,416.1
925,MBAPL,0.6147169374883071,403.4
4341,AETHER,0.6243982103915686,864.4
115,ASTEC,0.6250401400218994,814.9
728,JCHAC,0.6399191826991492,1515.9
4137,TTKPRESTIG,0.6431605915787888,640.25
1655,VRLLOG,0.6451959273946886,270.75
5108,NIITMTS,0.647013420560523,392.1
6037,KSB,0.6581875214519455,756.0
4690,SPLPETRO,0.6631044760936607,635.0
