Ticker,Ticker,Factor,Selection Close
18,ADANIENT,0.41005232839365024,3206.6
19,ADANIPORTS,0.2723674332901113,1864.4
84,APOLLOHOSP,0.1934877475662974,8888.5
2730,GRASIM,0.13249444855662476,3213.0
674,INDUSINDBK,0.12468675168457975,1009.8
5511,NESTLEIND,0.12085488287191976,1473.7
6258,DRREDDY,0.10065980045059554,1367.9
1163,POWERGRID,0.0806512684589169,285.4
1468,SUNPHARMA,0.07303938067990579,1912.8
6499,SHRIRAMFIN,0.06672691670432288,1062.3
6767,BAJFINANCE,0.0622419488026424,1029.1
1551,TITAN,0.049424319011513576,4484.4
2086,JSWSTEEL,0.044881492687846775,1243.2
577,HINDALCO,0.044701369279130404,980.4
4403,TATASTEEL,0.03846572361262238,190.87
135,AXISBANK,0.03404091084523343,1339.6
1311,SBIN,0.030333118204835495,1037.7
141,BAJAJ-AUTO,0.02523111497012105,10036.5
2242,BEL,0.023818116203536712,425.55
1059,NTPC,0.021212555539630147,356.25
1079,ONGC,0.02024596335647956,243.9
271,CIPLA,0.0029974793923290845,1472.3
274,COALINDIA,0.0016216842349126503,432.35
617,ICICIBANK,-0.0005603418085031551,1426.9
3699,EICHERMOT,-0.01463897131552918,7471.5
111,ASIANPAINT,-0.01939915996298142,2754.9
867,LT,-0.027904738994467163,4041.0
1591,ULTRACEMCO,-0.042925147734734076,11661.0
1512,TMPV,-0.04486032750791251,347.05
189,BHARTIARTL,-0.07604836388062555,1925.7
1509,TATACONSUM,-0.07809665182252995,1117.9
4474,BAJAJFINSV,-0.07933461292386439,1870.7
588,HINDUNILVR,-0.08227056764191051,2202.0
1244,RELIANCE,-0.12159287328812664,1321.3
3254,HDFCBANK,-0.12559928349402028,829.85
1525,TECHM,-0.1345680531626877,1406.5
2711,SBILIFE,-0.13671045006760676,1787.7
917,MARUTI,-0.139984532095901,14456.0
877,M&M,-0.14607341015791728,3201.2
706,ITC,-0.15531135531135531,288.25
567,HEROMOTOCO,-0.1733154990804214,4944.4
1561,TRENT,-0.17650535648319168,3343.8
5140,JIOFIN,-0.20922570016474465,240.0
2772,HDFCLIFE,-0.26950216870589755,564.2
556,HCLTECH,-0.3116465375978637,1134.2
1677,WIPRO,-0.3562776957163959,174.32
3050,INFY,-0.3641244661378889,1042.2
1521,TCS,-0.3756523849981794,2057.6
7587,KOTAKBANK,-0.8221548507462687,381.3
