Ticker,Ticker,Factor,Selection Close
5084,LIQUID,0.0,999.99
5330,LIQUIDSBI,8.309515773653802e-06,1000.0
5987,LIQUIDSHRI,0.0001032965582224446,1116.52
6818,LIQGRWBEES,0.00010381447483353181,1050.9
5744,LIQUIDADD,0.00010958438423423327,1139.43
6925,ELIQUID,0.00011061199280390067,1042.84
6668,AONELIQUID,0.00011081568980987945,1071.78
6302,LIQUIDPLUS,0.00011084770318056636,1098.06
4735,LIQUID1,0.00011197180639837401,1117.32
5889,LIQUIDBETF,0.00011380175587111382,1093.82
6652,CASHIETF,0.00011679922129770472,1074.48
6616,HDFCLIQUID,0.000117107459662676,1072.9
6842,SBILIQETF,0.00011817844377123583,1051.03
5549,LIQUIDCASE,0.00013547990321153547,115.38
6197,GROWWLIQID,0.00014228008707681036,110.26
7717,ELPROINTL,0.0039616776245035455,180.06
3584,IIFLSEC,0.0044940671483473795,334.15
1241,NIF100BEES,0.0054488548901087475,274.78
6739,EQUAL50,0.005530482124642075,340.12
4199,MAKEINDIA,0.005715737633393436,169.61
4434,INFRAIETF,0.006319117171128905,97.67
7686,PASHUPATI,0.006456680696173049,83.97
3844,ANURAS,0.006458945435198981,1214.6
1243,DIVOPPBEES,0.006532814226580782,79.88
3346,NEXT50,0.00659112686653561,770.55
1242,CONSUMBEES,0.006842407863927083,135.45
4440,MOVALUE,0.006863596540631924,116.06
471,GICHSGFIN,0.007072119898772797,152.88
2510,STARCEMENT,0.007390556587390745,201.96
6168,TOP10ADD,0.0076332343467102,89.46
3896,HEALTHIETF,0.008033075638348113,171.26
1490,SWARAJENG,0.008181643984821213,3600.4
4189,AUTOBEES,0.008278412549596659,307.43
7644,LICMFGOLD,0.00887219148367722,134.25
6646,GOLD360,0.008978472091639407,145.5
1518,TCI,0.009023058326769199,916.35
4784,GOLDETF,0.009093264465875738,145.03
4769,HDFCSML250,0.009098129524819091,184.89
2431,SCHAND,0.009105667502786512,145.31
4112,BSLGOLDETF,0.009159748760597096,131.25
3332,SIS,0.009197660590064091,434.95
6467,VENTIVE,0.009305251374954382,599.9
6372,SURAKSHA,0.009315822778257078,249.55
6092,UNIECOM,0.009389197709397761,84.25
2832,GALAXYSURF,0.00954826197180066,2066.7
599,HONDAPOWER,0.009564718601460773,2093.4
1578,TVSSRICHAK,0.009778696905568785,3964.9
4917,GOLDETFADD,0.009803854758075407,145.12
4172,SETFGOLD,0.009834798713863908,127.36
804,KITEX,0.009861259763312494,144.85
4139,QGOLDHALF,0.009952280908302632,123.84
3350,VINATIORGA,0.009981191807305983,1324.9
3934,GOLD1,0.009991278582928578,124.73
1058,NSIL,0.010049253050121568,5655.0
5353,EGOLD,0.010089804842255135,149.15
7616,DEFENCE,0.010092465767083354,81.2
396,ENIL,0.01018661219018089,102.08
743,JKLAKSHMI,0.010548142201227732,565.0
7658,V2RETAIL,0.010610519451451373,219.44
2901,AMRUTANJAN,0.010693366321677994,521.4
2291,ARIHANTSUP,0.010777768291101839,265.5
6126,MODEFENCE,0.01082924063601198,106.77
3786,AWHCL,0.01087045898564305,415.75
7795,IVZINGOLD,0.010927931187132717,129.6
306,DBCORP,0.010943327254821701,210.41
1302,SANOFI,0.010954003911575147,3349.4
4270,TNIDETF,0.010960651746986018,90.15
6191,WCIL,0.010963672720341287,88.46
2850,HGINFRA,0.011049520295534831,549.15
6881,SHRINGARMS,0.011227697378576462,233.34
6226,GROWWDEFNC,0.011244147846217974,97.22
525,GSFC,0.011270832967020979,161.22
470,GHCL,0.011300980714696802,436.05
1169,PRAKASH,0.011419799524513096,128.73
1446,STCINDIA,0.011446533882830075,118.64
907,MANGLMCEM,0.01146373734235167,938.15
6046,RELTD,0.011516482482919482,167.29
6953,STUDDS,0.011521616206512111,438.75
