Ticker,Ticker,Factor,Selection Close
5337,MUFIN,-2.6947039177027037,111.04
115,ASTEC,-2.152469523723512,837.9
3627,HINDWAREAP,-1.9008570105025693,328.35
2664,APEX,-1.7366329280377135,297.27
831,KTKBANK,-1.671597275005253,212.13
4064,MEDICAMEQ,-1.625480969524431,411.6
6964,WEBELSOLAR,-1.6020833273182156,102.0
416,EXCELINDUS,-1.2514024182777979,951.6
3183,APCOTEXIND,-1.2310755037579788,413.45
670,INDRAMEDCO,-1.1974996316305948,512.5
3356,ASALCBR,-1.172499787401614,973.7
3952,STYLAMIND,-1.1247027805367973,2069.6
6046,RELTD,-1.1005230073620924,150.71
1383,SIMPLEXINF,-0.9412777176219242,278.2
6915,SYSTMTXC,-0.9289345445987119,163.15
4589,ACI,-0.9014595430535314,512.1
3872,SHARDAMOTR,-0.8876293806815426,934.4
4241,RAJRATAN,-0.850780194406232,433.95
242,CARERATING,-0.8373947484808707,1522.0
193,BIL,-0.8246779974078791,879.85
1298,SANGAMIND,-0.7962229242103308,446.45
3305,CSBBANK,-0.7544119838124492,412.2
5487,INNOVACAP,-0.7018650232967286,718.25
1534,THANGAMAYL,-0.6251850418030577,3254.0
1579,TVTODAY,-0.6235046799043508,138.41
1675,WINDMACHIN,-0.6148470749674149,274.3
5329,CANTABIL,-0.6073551020566541,249.0
3611,ORIENTELEC,-0.5587212355062022,194.42
2118,PRIVISCL,-0.5499082827142947,3153.6
3567,DVL,-0.5465268812131698,298.25
187,BHARATRAS,-0.5426984067226133,10402.0
728,JCHAC,-0.5187018541884317,1614.3
6229,GARUDA,-0.5128550871786753,212.81
172,BEDMUTHA,-0.500076394959538,112.43
6908,JAINREC,-0.4810689984218602,398.4
3970,UGROCAP,-0.4660072740988614,173.23
149,BALAMINES,-0.45247898940202597,1152.8
6101,MANCREDIT,-0.4266776204404195,173.04
1356,SHK,-0.40786650178691075,171.07
33,AGARIND,-0.40437231191394546,769.8
3800,STOVEKRAFT,-0.4021107930325018,612.9
252,CENTENKA,-0.36413918316705707,470.15
1267,RPGLIFE,-0.35941965979296886,2278.1
6830,CPPLUS,-0.35561838368560517,1534.0
6372,SURAKSHA,-0.34801376381216875,292.7
583,HINDOILEXP,-0.3332017403517351,144.57
742,JKIL,-0.3258126978041886,585.95
3557,RPSGVENT,-0.3189615324246266,795.5
4115,TARSONS,-0.3060114568535838,225.45
4459,GRMOVER,-0.29293503630674306,469.45
2779,SILVERTUC,-0.2728718239812705,781.25
6704,AMIORG,-0.27160182519750764,1837.5
6922,SOLEX,-0.2548755586086233,1778.8
5081,SERVOTECH,-0.2525041774031847,91.11
5122,REDTAPE,-0.2524441895536923,131.09
6802,TRAVELFOOD,-0.24402672797468694,1345.9
