Date,Mean Return,Index Return,Strategy Wealth,Index Wealth
2013-07-09,-0.0061258419991050235,-0.005411148718959793,0.993874158000895,0.9945888512810402
2013-07-16,-0.003447235087899128,0.01245608431810927,0.990448040130478,1.0069775338744482
2013-07-23,-0.004480464891519807,0.013978026759490917,0.9860103724597988,1.0210530927891515
2013-07-30,-0.04423693670533127,-0.05801641366732814,0.9423922940224946,0.9618152541815913
2013-08-06,-0.03643309784318962,-0.04013347455214293,0.9080580233677051,0.9232142661540316
2013-08-13,0.028788948120250103,0.03476383137762064,0.9342000586926149,0.9553087312280241
2013-08-20,-0.01447293005961859,-0.050967172325226746,0.9206794465814652,0.9066193464997316
2013-08-27,0.0021098285253603384,-0.018775372124492515,0.9226219223405756,0.8895972308939349
2013-09-03,-0.0030218442090123284,0.007929667298741663,0.9198339026274429,0.8966514409648058
2013-09-10,0.02218432299763225,0.09055926115956903,0.9402397950275027,0.9778515329762414
2013-09-17,0.0020695719152233095,-0.004267903350472198,0.9421856889008668,0.9736781571423877
2013-09-24,0.00685095291611779,0.008909888626392252,0.9486405586937667,0.9823535210804772
2013-10-01,0.013553089957867828,-0.01364822372382434,0.9614975695234252,0.9689461404488843
2013-10-08,0.016410926467895832,0.025673200841077163,0.9772766354359347,0.993822089316815
2013-10-15,0.008873098309917987,0.022716000396786073,0.9859481070981435,1.0163977522920706
2013-10-22,0.0022473082712813034,0.021306175234400336,0.9881638364342793,1.0380533009102562
2013-10-29,0.015605088629698472,0.0005803708041828906,1.0035842206824992,1.0386557567392902
2013-11-05,0.013948762876295753,0.01415283373056874,1.0175829790031914,1.0533556789677194
2013-11-12,0.016282243188583567,-0.03553304771016169,1.0341515125318848,1.0159267413711897
2013-11-19,0.019479002027173203,0.028982069500900216,1.0542957519408975,1.0453704007974325
2013-11-26,0.028429422412453564,-0.01940587834651865,1.0842687712204806,1.0250840699725061
2013-12-03,0.028219343887270862,0.02495111291580736,1.11486612454178,1.0506610583505855
2013-12-10,-0.019509662955339954,0.01624304093079517,1.0931154622116437,1.0677269889257668
2013-12-17,-0.002554704502350724,-0.02570889244531991,1.0903228752187424,1.0402769106065088
2013-12-24,0.035941902945865176,0.026871643676950694,1.129511154179511,1.0682308610736861
2013-12-30,0.0029176164852598484,0.0048912040360122745,1.13280663454323,1.0734557961727627
2014-01-07,0.006690928251991415,-0.019118066012779256,1.1403861624583385,1.0529333973997312
2014-01-14,-0.0023013479829897252,0.006327472641460505,1.1377617370635356,1.0595958046650582
2014-01-21,-0.0031664723037617077,0.007411225068288372,1.134159046034844,1.067448707654845
2014-01-28,-0.01170115183839434,-0.033990218347760136,1.1208880788283018,1.0311658930066223
2014-02-04,0.0021543123866078475,-0.014426132271321519,1.1233028219005228,1.0162901574404335
2014-02-11,0.006633506894489163,0.01012358946802802,1.130754258914199,1.026578661774758
2014-02-18,-0.005191879050087583,0.0067878117286576806,1.1248835195665452,1.0335468844555424
2014-02-25,0.010892334628226006,0.013188206699778006,1.1371361272794405,1.0471775144016537
2014-03-04,0.015654959722781258,0.01654185527441127,1.1549379475513195,1.0644997732915036
2014-03-11,0.0057478026667474634,0.03155011081014528,1.1615763029661827,1.098084859096225
2014-03-18,-0.008226989930149732,0.0016809397348292341,1.1520200264185794,1.0999306735680943
2014-03-25,-0.05831821917521226,0.013375302855781143,1.084836270023667,1.1146425794474308
2014-04-01,0.013868271386380608,0.02549605604820937,1.099881073826144,1.1430615691267432
2014-04-09,0.012593796490831678,0.015746677240891602,1.1137327522340277,1.161060990722249
2014-04-16,0.003693731764496593,-0.015972908141667776,1.1178465822781145,1.1425154701705689
2014-04-23,0.014095272625407005,0.02525643599376704,1.1336029346087042,1.1713713390148206
2014-04-30,-0.023921484809516533,-0.019916269615567545,1.1064854692284387,1.148041991607053
2014-05-07,0.011046199645489939,-0.004338188425789251,1.1187079286263697,1.1430615691267432
2014-05-14,0.020663636302747975,0.06702848352236353,1.1418245023925055,1.219679252678002
2014-05-21,0.05124695907229555,0.03737731929221287,1.2003395359343585,1.2652675935394353
2014-05-28,0.021747365033996865,0.011903734267907362,1.2264437579870613,1.2803290027507233
2014-06-04,0.01013061054298999,0.019040307101727508,1.2388683820521091,1.3047068601543457
2014-06-11,0.04364837998619813,0.030086139782515852,1.2929429799448062,1.3439604531241567
2014-06-18,0.010954484988542722,-0.011003567626431288,1.3071065044096535,1.3291720933909559
2014-06-25,0.014575593341157439,0.004979580433371286,1.3261583572715105,1.3357908127397886
2014-06-30,0.018047519672056058,0.009656345306329393,1.3500922263126296,1.3486896700846265
2014-07-08,0.00986667110688386,-0.0064114987080103065,1.3634131422736169,1.340042548007372
2014-07-15,-0.009688852579102245,-0.013807844220860462,1.3502032333337173,1.3215394492551613
2014-07-22,0.020116687495995843,0.030326254460349245,1.377364849834775,1.3616167908726633
2014-07-30,0.005427927624068922,-0.0029993521399377734,1.3848410865516148,1.3575328226371841
2014-08-06,-0.0028444219293833387,-0.009466354330455989,1.3809020141963162,1.3446819359228765
2014-08-13,-0.004421605983478363,-0.001036672281974949,1.3747962095877484,1.343287941431833
2014-08-20,0.019367662984829084,0.0250437799974056,1.4014227992478645,1.37692894911022
2014-08-27,0.022836998407220054,0.005299249404823108,1.43342708948213,1.384225639024276
2014-09-03,0.011490760992408141,0.025577681093286578,1.4498982575674124,1.41963092098039
2014-09-10,0.009075513057710639,0.003459809441981095,1.4630568281363174,1.4245425734449262
2014-09-17,0.013584334194541605,-0.014945911853522419,1.4829314810353271,1.4032514857106282
2014-09-24,0.015944054328754446,-0.0008149010477299185,1.5065754211347746,1.402107974604694
